pl_name,log_pl_bmasse,pl_rade,log_pl_densitye,log_pl_orbper,log_pl_orbsmax,st_teff,log_st_mass,pl_class,pl_class2
Lupus-TR-3 b,2.4106608437272152,9.976,-0.7111472142925434,0.5926263692487573,-1.3334820194451191,5000.0,-0.060480747381381476,Terrestrial,Jovian
MASCARA-1 b,3.0703966119652324,17.901,-0.813174002334349,0.3321907020252186,-1.3941349351070125,7490.0,0.2787536009528289,Jovian,Jovian
MASCARA-4 b,2.99355658173251,17.15,-0.8341745280121577,0.4508739195016151,-1.3279021420642825,7800.0,0.24303804868629444,Jovian,Jovian
NGTS-1 b,2.4117509171394125,14.908,-1.2334459717142934,0.4228028315435461,-1.486782399932061,3916.0,-0.20760831050174613,Jovian,Jovian
NGTS-10 b,2.837050577515529,13.507,-0.6795648586848136,-0.1152644335147316,-1.8446639625349381,4600.0,-0.1549019599857432,Terrestrial,Jovian
NGTS-11 b,2.0387533304697674,9.158,-0.971587323713568,1.5496815319193296,-0.6968039425795111,5050.0,-0.06550154875643228,Jovian,Jovian
NGTS-12 b,1.820258222860999,11.747,-1.5144614200047182,0.8769567827499342,-1.1209041204999273,5690.0,0.00860017176191757,Jovian,Jovian
NGTS-13 b,3.1870402495426498,12.801,-0.2596301798025737,0.6147946387426715,-1.260427655549908,5819.0,0.11394335230683679,Terrestrial,Jovian
NGTS-14 A b,1.4659827152437925,4.977,-0.7498589435965769,0.5484775335021858,-1.3946949538588904,5187.0,-0.045757490560675115,Terrestrial,Neptunian
NGTS-15 b,2.3778326415098556,12.33,-1.0199953248856393,0.5153743827784188,-1.3555614105321614,5600.0,-0.004364805402450088,Jovian,Jovian
NGTS-16 b,2.326318550261251,14.572,-1.289177674056684,0.6853224644920396,-1.2814983111327258,5550.0,0.0,Jovian,Jovian
NGTS-17 b,2.3852860644626714,13.899,-1.1686033369140811,0.5108840028823121,-1.407823242604133,5650.0,0.00860017176191757,Jovian,Jovian
NGTS-18 b,2.1139160243019544,13.563,-1.4080899975682155,0.484477792425245,-1.348721986001856,5610.0,0.0,Jovian,Jovian
NGTS-2 b,2.3714266076292136,17.878,-1.5104689278040464,0.6542886158364299,-1.2006594505464183,6478.0,0.21484384804769785,Jovian,Jovian
NGTS-20 b,2.9764089739244293,11.994,-0.38542189618915246,1.7339123388107889,-0.5044556624535516,5980.0,0.1673173347481761,Terrestrial,Jovian
NGTS-21 b,2.8751047138286183,14.908,-0.7700921750250876,0.18847559760624416,-1.6270879970298935,4660.0,-0.14266750356873156,Terrestrial,Jovian
NGTS-3 A b,2.8787718449547492,16.589,-0.9056275130952632,0.224111460309079,-1.6382721639824072,5600.0,0.00860017176191757,Jovian,Jovian
NGTS-4 b,1.3138672203691535,3.18,-0.3183528761924446,0.12624534183266634,-1.7212463990471711,5143.0,-0.12493873660829995,Terrestrial,Neptunian
NGTS-5 b,1.8620303702381253,12.733,-1.577700583603396,0.5259496076889799,-1.4179366370882913,4987.0,-0.1804560644581313,Jovian,Jovian
NGTS-6 b,2.6289754649102464,14.863,-1.0122827050755416,-0.05450236439487766,-1.7754669373939143,4730.0,-0.11350927482751812,Jovian,Jovian
NGTS-8 b,2.4706778364521726,12.218,-0.9152612625440997,0.39788789020703874,-1.4559319556497243,5241.0,-0.05060999335508721,Jovian,Jovian
NGTS-9 b,2.9645928857971935,11.994,-0.3972379843163882,0.6469200629368357,-1.2365720064370627,6330.0,0.12710479836480765,Terrestrial,Jovian
OGLE-TR-10 b,2.294567623187617,14.011,-1.2697785126362926,0.4915406983413211,-1.3625102704874892,5950.0,0.05690485133647256,Jovian,Jovian
OGLE-TR-111 b,2.2425389437690697,11.422,-1.0556262603254887,0.6036256528681431,-1.3251388592621884,5040.0,-0.08618614761628333,Jovian,Jovian
OGLE-TR-113 b,2.602547213481595,12.251,-0.7869061427197618,0.15608711189849647,-1.6403542073254571,4790.0,-0.10790539730951958,Jovian,Jovian
OGLE-TR-132 b,2.574054429482446,13.45,-0.9370511601411345,0.2278527820630648,-1.5178413045887236,6210.0,0.11394335230683679,Jovian,Jovian
OGLE-TR-182 b,2.5064982676406307,12.666,-0.9263589200415693,0.599784853673271,-1.2924298239020637,5924.0,0.05690485133647256,Jovian,Jovian
OGLE-TR-211 b,2.5150136719536578,15.244,-1.1592218849550306,0.5655219756056601,-1.2924298239020637,6325.0,0.12385164096708581,Jovian,Jovian
OGLE-TR-56 b,2.6451962201890327,15.278,-1.0319420334942504,0.08347355839385091,-1.6228759576535439,6050.0,0.06818586174616162,Jovian,Jovian
OGLE2-TR-L9 b,3.1553891821393756,18.046,-0.7386924135638473,0.39541962093190736,-1.5114492834995557,6933.0,0.18184358794477254,Terrestrial,Jovian
PH1 b,2.2278867046136734,6.18,-0.27001745726107385,2.1408755608212817,-0.1857524042680798,6407.0,0.1846914308175988,Terrestrial,Jovian
PH2 b,4.405284874890181,10.12,1.2648046007705402,2.4510576521890703,-0.08196966321511988,5629.0,-0.026872146400301365,BrownDwarf,BrownDwarf
POTS-1 b,2.8657907186962848,10.548,-0.32865838127620545,0.4997736030519729,-1.4278256863869405,4400.0,-0.16115090926274472,Terrestrial,Jovian
Qatar-1 b,2.614129164230919,12.812,-0.8336603623527334,0.15229574567665274,-1.6322714539130234,5013.0,-0.07572071393811836,Jovian,Jovian
Qatar-10 b,2.3690727022357363,17.295,-1.4696277334237047,0.2162506408444093,-1.5436339668709569,6124.0,0.06445798922691845,Jovian,Jovian
