pl_rade,log_pl_orbper,st_teff,pl_class,pl_class2
1.75,0.33741932432967314,4503.0,Terrestrial,SuperEarth
1.0,-0.2334265531198177,5315.0,Terrestrial,SuperEarth
11.209,1.047993059799791,6154.0,Jovian,Jovian
16.197,0.33856313964828466,6360.0,Jovian,Jovian
14.572,0.505781959609405,5630.0,Jovian,Jovian
5.4,1.3199336583488712,5625.0,Jovian,Neptunian
7.5,1.6267416220067759,5625.0,Jovian,Neptunian
3.44,0.5421484554636109,3207.0,Terrestrial,Neptunian
17.396,0.419404802940676,6367.0,Jovian,Jovian
9.528,1.0657095728880335,5445.0,Jovian,Jovian
2.41,1.7060256619574181,5368.0,Terrestrial,Neptunian
1.71,0.3745965913007686,5477.0,Terrestrial,SuperEarth
4.48,0.8306730175457236,5248.0,Terrestrial,Neptunian
2.59,0.5405478187049426,4975.0,Terrestrial,SuperEarth
3.53,0.8535794640546432,4975.0,Terrestrial,Neptunian
9.494,1.1729906752682782,5695.0,Jovian,Jovian
13.339,0.5130619855274627,5358.0,Jovian,Jovian
11.276,1.684547803903548,6302.0,Jovian,Jovian
1.589,0.3473645623128732,5520.0,Terrestrial,SuperEarth
2.63,1.2300425382305011,5725.0,Terrestrial,Neptunian
10.054,0.6047515338665137,4444.0,Jovian,Jovian
1.98,1.0023659208644304,3896.0,Terrestrial,SuperEarth
1.56,1.3917566996187527,3896.0,Terrestrial,SuperEarth
1.53,1.6489106789444552,3896.0,Terrestrial,SuperEarth
11.646,0.6126252573152748,5425.0,Jovian,Jovian
11.882,0.0996288541009923,5280.0,Terrestrial,Jovian
5.299,0.953856298224986,5271.0,Jovian,Neptunian
3.134,1.3151498663016026,5271.0,Terrestrial,SuperEarth
3.484,1.5012922391214034,5271.0,Jovian,SuperEarth
1.212,0.6384233589994807,5271.0,Terrestrial,SuperEarth
8.676,1.0953480033147098,5282.0,Jovian,Jovian
13.75,0.4764888671007989,6168.0,Jovian,Jovian
1.43,0.15308707829183965,4916.0,Terrestrial,SuperEarth
3.12,0.727626700535272,4953.0,Terrestrial,SuperEarth
1.54,0.6037861341970521,5731.0,Terrestrial,SuperEarth
2.29,1.0237062762946016,5731.0,Terrestrial,SuperEarth
6.277,0.6632701856531421,4881.0,Jovian,Neptunian
7.656,0.4775047121765561,5500.0,Terrestrial,Jovian
2.49,0.7049762641021736,5887.0,Terrestrial,Neptunian
10.61,0.9246268927095089,4717.0,Jovian,Jovian
5.2,1.0058857967874077,6172.0,Terrestrial,Neptunian
11.73,1.2613101031852219,6217.0,Jovian,Jovian
12.442,0.0854739637986139,6518.0,BrownDwarf,BrownDwarf
15.681,0.619747818023725,5948.0,Jovian,Jovian
15.132,0.6754208636873493,5375.0,Jovian,Jovian
19.952,0.7017080936547573,6279.0,Jovian,Jovian
19.537,0.2330104850476364,5720.0,Jovian,Jovian
19.504,0.5223711928571244,6003.0,Jovian,Jovian
15.861,-0.01367841907755443,6236.0,Jovian,Jovian
17.094,0.4885749122332754,7454.0,Jovian,Jovian
17.598,0.45814690195313273,6670.0,Jovian,Jovian
21.409,0.6638619236476216,7500.0,Jovian,Jovian
15.132,0.6142421181392138,6327.0,Jovian,Jovian
19.515,0.5408433777885296,8720.0,Jovian,Jovian
14.83,0.35319488406261357,5899.0,Jovian,Jovian
14.258,0.7444097652475582,6509.0,Terrestrial,Jovian
17.486,0.4319087029795491,6304.0,Jovian,Jovian
19.044,0.47561209701517104,6206.0,Jovian,Jovian
14.572,0.8946316977731895,6102.0,Jovian,Jovian
17.934,0.4369208071114585,6768.0,Jovian,Jovian
18.159,0.5110888780384835,5754.0,Jovian,Jovian
21.196,0.17059127265512028,10170.0,Jovian,Jovian
13.787,1.2517642813668217,6635.0,Jovian,Jovian
10.54,1.9377568436973254,5520.0,Terrestrial,Jovian
16.948,0.24639713508992045,7650.0,Terrestrial,Jovian
3.438,1.0380822256065392,5466.0,Terrestrial,SuperEarth
14.0,1.3476211390081818,5466.0,Jovian,Jovian
11.097,2.149962846966579,5830.0,Terrestrial,Jovian
1.71,0.5732439603611228,6182.0,Terrestrial,Neptunian
4.32,1.0180197371021884,6182.0,Jovian,Neptunian
11.27,1.3491412717058893,6182.0,Jovian,Jovian
6.56,1.734962239750082,6182.0,Jovian,Neptunian
11.545,0.23205310005359472,5165.0,Terrestrial,Jovian
1.481,-0.07701985136137265,5627.0,Terrestrial,SuperEarth
2.323,1.6560464287238046,5706.0,Terrestrial,SuperEarth
1.32,0.8380332359757762,5825.0,Terrestrial,SuperEarth
2.2,1.1077491100371641,5825.0,Terrestrial,SuperEarth
1.61,1.5481817425532103,5825.0,Terrestrial,SuperEarth
5.77,0.5425367803292055,5667.0,Terrestrial,Jovian
0.47,0.7232060246390831,4903.0,Terrestrial,SuperEarth
0.58,0.849506632501439,4903.0,Terrestrial,SuperEarth
1.18,1.0133302695276776,4903.0,Terrestrial,SuperEarth
2.22,1.208056878684064,4903.0,Terrestrial,SuperEarth
0.88,1.438599301704939,4903.0,Terrestrial,SuperEarth
0.82,0.7899232184957667,5858.0,Terrestrial,SuperEarth
2.5,1.1326054501169693,5858.0,Terrestrial,Neptunian
0.95,1.379852800886857,5858.0,Terrestrial,SuperEarth
2.56,1.6419151217736123,5858.0,Terrestrial,Neptunian
1.536,0.5024300972131288,5854.0,Terrestrial,SuperEarth
1.597,0.6903247539417944,5854.0,Terrestrial,SuperEarth
2.903,1.1687667863356153,5854.0,Terrestrial,SuperEarth
2.37,0.811684235961135,5952.0,Terrestrial,SuperEarth
2.52,1.3268006350086712,5952.0,Terrestrial,Neptunian
1.8,1.013001635180825,5663.0,Terrestrial,Terrestrial
2.87,1.1147477221029778,5663.0,Jovian,SuperEarth
3.12,1.3557292112134942,5663.0,Terrestrial,SuperEarth
4.19,1.5051445496049527,5663.0,Jovian,SuperEarth
2.49,1.6692127117959676,5663.0,Jovian,Terrestrial
3.33,2.073280903681438,5663.0,Terrestrial,Neptunian
1.82,0.6770591773921614,4725.0,Terrestrial,Neptunian
2.18,0.9506116310021037,4725.0,Terrestrial,SuperEarth
12.341,1.705781556173524,6150.0,Terrestrial,Jovian
19.661,0.6471836673433474,5947.0,Jovian,Jovian
2.4,1.1983821300082942,5770.0,Terrestrial,Neptunian
2.52,1.9148718175400503,5770.0,Terrestrial,Neptunian
2.41,1.2066100238992237,5685.0,Terrestrial,Neptunian
0.84,1.406827911637248,5685.0,Terrestrial,SuperEarth
12.733,0.8318776413994189,6395.0,Terrestrial,Jovian
10.76,0.6939714564480604,5515.0,Jovian,Jovian
12.42,2.338121359926896,6145.0,Terrestrial,Jovian
8.449,2.3594104623663177,4450.0,Jovian,Jovian
2.213,1.0745560308291098,6148.0,Terrestrial,SuperEarth
4.52,1.499164515495657,5569.0,Terrestrial,Neptunian
11.994,0.5853899709692468,6216.0,Terrestrial,Jovian
10.16,3.029883557777217,4884.0,Terrestrial,Jovian
14.68,0.1719342803616592,5781.0,Terrestrial,Jovian
11.949,2.99514408529666,5746.0,Terrestrial,Jovian
2.0,0.5446539465058139,5345.0,Terrestrial,SuperEarth
5.49,0.8831837324476127,5345.0,Jovian,Neptunian
6.98,1.1719860753632485,5345.0,Jovian,Neptunian
2.209,0.9678829276755809,5544.0,Terrestrial,SuperEarth
1.868,0.5677455046635126,5495.0,Terrestrial,SuperEarth
3.047,1.035593453954365,5495.0,Terrestrial,Neptunian
2.744,1.8899249589409972,5495.0,Terrestrial,Neptunian
0.865,0.7852246525261579,5495.0,Terrestrial,SuperEarth
1.003,1.2917591133396131,5495.0,Terrestrial,Neptunian
1.639,0.4449468161228964,6305.0,Terrestrial,SuperEarth
2.38,2.462191733924622,5518.0,Terrestrial,Neptunian
2.748,0.7950660473032398,6103.0,Terrestrial,SuperEarth
5.217,1.1045110105083613,6354.0,Jovian,Neptunian
8.564,2.4606302710122248,5913.0,Jovian,Jovian
8.16,2.11878702064501,5606.0,Jovian,Neptunian
0.296,1.1260440198501422,5417.0,Terrestrial,SuperEarth
0.75,1.3284203803489505,5417.0,Terrestrial,Neptunian
1.94,1.5997979507434648,5417.0,Terrestrial,Neptunian
13.9,1.3240191230416025,6350.0,BrownDwarf,BrownDwarf
4.002,0.506972898337785,5857.0,Terrestrial,Neptunian
13.11,0.837177305164802,6510.0,Terrestrial,Jovian
1.43,0.384942708267034,5538.0,Terrestrial,SuperEarth
0.85,0.6649539538803473,5538.0,Terrestrial,SuperEarth
1.07,-0.174372686258452,5476.0,Terrestrial,SuperEarth
0.82,0.39182044728643395,6104.0,Terrestrial,SuperEarth
1.19,1.8385871762616632,5460.0,Terrestrial,Neptunian
14.46,0.2684745806424682,5750.0,Jovian,Jovian
2.401,0.47786702149039567,4974.0,Terrestrial,Neptunian
15.031,0.23574564082801,5750.0,Jovian,Jovian
4.347,1.821264540146232,4700.0,Terrestrial,Jovian
13.45,1.9379116877279754,5820.0,Jovian,Jovian
10.8,1.843572852644472,6430.0,Terrestrial,Jovian
12.89,0.8971567156271845,5972.0,Jovian,Jovian
13.361,0.42883566239391735,5560.0,Jovian,Jovian
9.98,0.5200725468515733,5460.0,Terrestrial,Jovian
10.962,0.5794426742451254,5170.0,Jovian,Jovian
12.22,0.5075210972209199,5725.0,Jovian,Jovian
13.79,1.012457324992373,5800.0,Jovian,Jovian
12.11,0.5472370458627728,5150.0,Terrestrial,Jovian
13.664,0.4805954157642361,6041.0,Terrestrial,Jovian
12.834,1.7201686427049674,4995.0,Terrestrial,Jovian
16.25,0.7270598375561838,6360.0,Jovian,Jovian
12.67,1.109737452062851,5977.0,Terrestrial,Jovian
22.31,0.9345062078757437,6161.0,Jovian,Jovian
12.22,0.5114460803053623,5800.0,Jovian,Jovian
1.58,0.4748207949425825,3157.0,Terrestrial,SuperEarth
2.51,0.687638546549522,3157.0,Terrestrial,SuperEarth
1.25,0.9113041251051985,3157.0,Terrestrial,SuperEarth
1.5,0.1946278263786524,3359.0,Terrestrial,SuperEarth
1.11,0.4823273721050786,3359.0,Terrestrial,Terrestrial
1.35,0.711716228489252,3359.0,Terrestrial,SuperEarth
18.49,0.8917771911774521,5493.0,Jovian,Jovian
